name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_convolution_par/20/100/1/iterations:3",3,1.79535e+08,1.72907e+08,ns,,,,,
"BM_convolution_par/20/100/2/iterations:3",3,1.41191e+08,1.36671e+08,ns,,,,,
"BM_convolution_par/20/100/3/iterations:3",3,1.43694e+08,1.38362e+08,ns,,,,,
"BM_convolution_par/20/100/4/iterations:3",3,1.49282e+08,1.44433e+08,ns,,,,,
"BM_convolution_par/20/100/5/iterations:3",3,1.53038e+08,1.46986e+08,ns,,,,,
"BM_convolution_par/20/100/6/iterations:3",3,1.60225e+08,1.53726e+08,ns,,,,,
"BM_convolution_par/20/100/7/iterations:3",3,1.68235e+08,1.62815e+08,ns,,,,,
"BM_convolution_par/20/100/8/iterations:3",3,1.71389e+08,1.65971e+08,ns,,,,,
"BM_convolution_par/20/100/9/iterations:3",3,1.88084e+08,1.82794e+08,ns,,,,,
"BM_convolution_par/20/100/10/iterations:3",3,1.92424e+08,1.87735e+08,ns,,,,,
"BM_convolution_par/20/100/11/iterations:3",3,2.09416e+08,2.04938e+08,ns,,,,,
"BM_convolution_par/20/200/1/iterations:3",3,1.44051e+08,1.39446e+08,ns,,,,,
"BM_convolution_par/20/200/2/iterations:3",3,1.43947e+08,1.39771e+08,ns,,,,,
"BM_convolution_par/20/200/3/iterations:3",3,1.50343e+08,1.44295e+08,ns,,,,,
"BM_convolution_par/20/200/4/iterations:3",3,1.60426e+08,1.55836e+08,ns,,,,,
"BM_convolution_par/20/200/5/iterations:3",3,1.6847e+08,1.62529e+08,ns,,,,,
"BM_convolution_par/20/200/6/iterations:3",3,1.80866e+08,1.74986e+08,ns,,,,,
"BM_convolution_par/20/200/7/iterations:3",3,1.99172e+08,1.93388e+08,ns,,,,,
"BM_convolution_par/20/200/8/iterations:3",3,2.10427e+08,2.0506e+08,ns,,,,,
"BM_convolution_par/20/200/9/iterations:3",3,2.13293e+08,2.08432e+08,ns,,,,,
"BM_convolution_par/20/200/10/iterations:3",3,2.48366e+08,2.22106e+08,ns,,,,,
"BM_convolution_par/20/200/11/iterations:3",3,2.5484e+08,2.47017e+08,ns,,,,,
"BM_convolution_par/20/300/1/iterations:3",3,1.43698e+08,1.38296e+08,ns,,,,,
"BM_convolution_par/20/300/2/iterations:3",3,1.44935e+08,1.38025e+08,ns,,,,,
"BM_convolution_par/20/300/3/iterations:3",3,1.50493e+08,1.44795e+08,ns,,,,,
"BM_convolution_par/20/300/4/iterations:3",3,1.65721e+08,1.61304e+08,ns,,,,,
"BM_convolution_par/20/300/5/iterations:3",3,1.83814e+08,1.79344e+08,ns,,,,,
"BM_convolution_par/20/300/6/iterations:3",3,2.02062e+08,1.9734e+08,ns,,,,,
"BM_convolution_par/20/300/7/iterations:3",3,2.31151e+08,2.26021e+08,ns,,,,,
"BM_convolution_par/20/300/8/iterations:3",3,2.28483e+08,2.22959e+08,ns,,,,,
"BM_convolution_par/20/300/9/iterations:3",3,2.46647e+08,2.4179e+08,ns,,,,,
"BM_convolution_par/20/300/10/iterations:3",3,2.69473e+08,2.64704e+08,ns,,,,,
"BM_convolution_par/20/300/11/iterations:3",3,3.01044e+08,2.95406e+08,ns,,,,,
"BM_convolution_par/20/400/1/iterations:3",3,1.42957e+08,1.37839e+08,ns,,,,,
"BM_convolution_par/20/400/2/iterations:3",3,1.47499e+08,1.42177e+08,ns,,,,,
"BM_convolution_par/20/400/3/iterations:3",3,1.63469e+08,1.57133e+08,ns,,,,,
"BM_convolution_par/20/400/4/iterations:3",3,1.75275e+08,1.69495e+08,ns,,,,,
