name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_convolution_par/10/1/1/iterations:10",10,1.18792e+08,1.13738e+08,ns,,,,,
"BM_convolution_par/10/1/2/iterations:10",10,1.25174e+08,1.16752e+08,ns,,,,,
"BM_convolution_par/10/1/3/iterations:10",10,1.14943e+08,1.0984e+08,ns,,,,,
"BM_convolution_par/10/1/4/iterations:10",10,1.21462e+08,1.11542e+08,ns,,,,,
"BM_convolution_par/10/1/5/iterations:10",10,1.27775e+08,1.17017e+08,ns,,,,,
"BM_convolution_par/10/1/6/iterations:10",10,1.21052e+08,1.14547e+08,ns,,,,,
"BM_convolution_par/10/1/7/iterations:10",10,1.21131e+08,1.11758e+08,ns,,,,,
"BM_convolution_par/10/1/8/iterations:10",10,1.2195e+08,1.16124e+08,ns,,,,,
"BM_convolution_par/10/1/9/iterations:10",10,1.21853e+08,1.17928e+08,ns,,,,,
"BM_convolution_par/10/1/10/iterations:10",10,1.20594e+08,1.15631e+08,ns,,,,,
"BM_convolution_par/10/20/1/iterations:10",10,1.22619e+08,1.14877e+08,ns,,,,,
"BM_convolution_par/10/20/2/iterations:10",10,1.21767e+08,1.12932e+08,ns,,,,,
"BM_convolution_par/10/20/3/iterations:10",10,1.22403e+08,1.15684e+08,ns,,,,,
"BM_convolution_par/10/20/4/iterations:10",10,1.23138e+08,1.17412e+08,ns,,,,,
"BM_convolution_par/10/20/5/iterations:10",10,1.23086e+08,1.18123e+08,ns,,,,,
"BM_convolution_par/10/20/6/iterations:10",10,1.26407e+08,1.19324e+08,ns,,,,,
"BM_convolution_par/10/20/7/iterations:10",10,1.25207e+08,1.14835e+08,ns,,,,,
"BM_convolution_par/10/20/8/iterations:10",10,1.23718e+08,1.15282e+08,ns,,,,,
"BM_convolution_par/10/20/9/iterations:10",10,1.26182e+08,1.19054e+08,ns,,,,,
"BM_convolution_par/10/20/10/iterations:10",10,1.25625e+08,1.15434e+08,ns,,,,,
"BM_convolution_par/100/1/1/iterations:10",10,1.68473e+08,1.52218e+08,ns,,,,,
"BM_convolution_par/100/1/2/iterations:10",10,1.73978e+08,1.59464e+08,ns,,,,,
"BM_convolution_par/100/1/3/iterations:10",10,1.73665e+08,1.60704e+08,ns,,,,,
"BM_convolution_par/100/1/4/iterations:10",10,1.80476e+08,1.66267e+08,ns,,,,,
"BM_convolution_par/100/1/5/iterations:10",10,1.83103e+08,1.66327e+08,ns,,,,,
"BM_convolution_par/100/1/6/iterations:10",10,1.89195e+08,1.66538e+08,ns,,,,,
"BM_convolution_par/100/1/7/iterations:10",10,1.8106e+08,1.67334e+08,ns,,,,,
"BM_convolution_par/100/1/8/iterations:10",10,1.8412e+08,1.71519e+08,ns,,,,,
"BM_convolution_par/100/1/9/iterations:10",10,1.83935e+08,1.66883e+08,ns,,,,,
"BM_convolution_par/100/1/10/iterations:10",10,1.90961e+08,1.73211e+08,ns,,,,,
"BM_convolution_par/100/20/1/iterations:10",10,1.8791e+08,1.72581e+08,ns,,,,,
"BM_convolution_par/100/20/2/iterations:10",10,1.93293e+08,1.7809e+08,ns,,,,,
"BM_convolution_par/100/20/3/iterations:10",10,2.12538e+08,1.96837e+08,ns,,,,,
"BM_convolution_par/100/20/4/iterations:10",10,2.31126e+08,2.14613e+08,ns,,,,,
"BM_convolution_par/100/20/5/iterations:10",10,2.42286e+08,2.27482e+08,ns,,,,,
"BM_convolution_par/100/20/6/iterations:10",10,2.58421e+08,2.36127e+08,ns,,,,,
"BM_convolution_par/100/20/7/iterations:10",10,2.75024e+08,2.60231e+08,ns,,,,,
"BM_convolution_par/100/20/8/iterations:10",10,3.15845e+08,2.98815e+08,ns,,,,,
"BM_convolution_par/100/20/9/iterations:10",10,3.42319e+08,3.2912e+08,ns,,,,,
"BM_convolution_par/100/20/10/iterations:10",10,3.83904e+08,3.68666e+08,ns,,,,,
